Datum,feiertag
01.07.2013,1
08.06.2014,1
15.06.2014,1
03.10.2014,1
29.05.2014,1
09.06.2014,1
01.07.2014,1
08.06.2015,1
04.06.2015,1
03.10.2015,1
14.05.2015,1
25.05.2015,1
01.07.2015,1
08.06.2016,1
26.05.2016,1
03.10.2016,1
01.05.2016,1
05.05.2016,1
16.05.2016,1
01.07.2016,1
08.06.2017,1
15.06.2017,1
03.10.2017,1
25.05.2017,1
05.06.2017,1
01.07.2017,1
08.06.2018,1
31.05.2018,1
03.10.2018,1
10.05.2018,1
01.07.2018,1
08.06.2019,1
20.06.2019,1
03.10.2019,1
19.04.2019,1
01.05.2019,1
30.05.2019,1
10.06.2019,1
